,CCM,TMA,MRI,BBS,SBP,LSW,MBP,RBP,BBP
Aglaia,0,0,0,0,0,1,0,3,0
Aporusa,0,0,0,0,1,0,0,0,0
Canthium,0,0,0,0,0,0,1,0,0
Chisocheton,0,0,16,5,23,10,13,13,3
Cissus hypoglauca,1,7,1,1,1,2,4,5,3
C. arista,0,13,0,0,0,0,1,0,0
Dysoxylum,1,0,0,0,0,1,12,17,0
Elmerrillia,0,1,0,1,2,2,12,2,0
Endospermu,0,8,0,0,9,2,15,2,0
Ficus drupace,25,2,0,0,0,0,0,0,0
Ficus gul,19,2,2,0,1,12,8,45,1
F. odoardi,1,155,0,0,1,6,8,20,0
Ficus 202,0,55,0,0,0,0,1,0,0
Ficus 181,0,2,0,0,0,2,0,0,1
Ficus 217,0,7,0,0,0,0,0,0,0
Ficus 246,1,9,0,0,0,0,2,0,0
Ficus 275,1,4,0,0,2,1,5,13,4
Ficus 371,1,40,0,1,4,4,0,3,7
Gastonia,0,6,7,0,0,22,58,24,3
Glochidion,0,17,0,0,0,0,1,0,0
Homalanthus,0,0,8,0,17,10,104,75,23
Myristica,0,4,0,0,0,3,1,1,0
Pandanus,0,3,0,0,2,0,5,2,1
Piper,0,1,0,0,0,0,0,0,0
Scheffiera,0,1,1,0,0,47,2,0,0
Sloanea aberrans,0,2,0,0,0,0,2,0,10
S. sogerensi,0,0,0,0,2,2,4,1,0
Sterculia,0,0,0,0,0,1,0,0,0
Syzygium,0,8,0,0,0,1,0,1,0
Uvaria ,0,2,0,0,0,0,0,0,0
Zingiberacea,1,0,0,0,0,0,2,0,1
