,Pha,Ara,Ort,Pso,Hem,Neu,Tri,Lep,Dip,Col,Hym
Lau,0,0,0,0,0,4,4,0,83,8,0
Ber,0,0,0,0,0,0,0,0,32,6,63
Ran,0,0,50,0,0,0,0,50,0,0,0
Car,0,0,0,0,0,0,0,0,0,0,100
Phy,0,0,0,0,0,0,0,0,0,0,100
Bas,0,0,0,0,2,0,0,0,3,84,10
Pol,0,0,0,0,0,0,0,0,54,0,24
The,0,0,0,0,0,0,0,21,6,5,88
Gut,0,0,0,0,0,0,0,0,100,0,0
TIL,0,0,0,0,0,0,0,0,19,2,78
MLP,0,0,0,0,0,0,0,0,0,66,33
ULM,0,0,0,0,0,0,0,0,0,0,100
VIO,0,0,0,0,0,0,0,0,0,0,100
CRU,0,0,0,0,0,0,0,0,0,0,100
ERI,0,0,0,1,0,0,0,4,10,1,84
ROS,0,0,0,0,1,0,0,2,8,73,14
SAX,0,0,0,0,2,0,0,3,9,43,42
LEG,0,2,2,0,0,0,0,9,20,0,67
LYT,0,0,0,0,0,0,0,9,3,10,77
THY,0,0,0,0,0,0,0,0,0,90,10
COR,0,0,0,0,0,1,,2,17,56,22
ELA,0,0,0,0,0,0,0,0,0,0,100
CEL,0,0,0,0,0,0,0,0,0,100,0
AQU,0,0,0,0,0,0,0,0,0,0,100
EUP,0,0,0,0,0,0,0,0,15,0,85
VIT,0,2,0,0,0,0,0,2,2,8,85
HIP,0,0,0,0,0,0,0,0,42,0,57
ANA,0,0,0,0,3,0,0,5,15,44,31
RUT,0,0,0,0,0,0,0,5,0,26,68
OXA,0,9,9,0,0,0,0,18,27,0,36
ARL,0,0,0,0,0,0,0,0,75,0,25
UMB,0,0,0,0,0,0,0,0,100,0,0
LOG,0,0,0,0,0,0,0,0,0,0,100
OLE,0,0,0,0,5,0,0,1,9,48,36
CON,0,0,0,0,0,0,0,0,100,0,0
PLM,0,0,0,0,0,0,0,100,0,0,0
VER,0,0,0,0,2,0,0,2,9,5,82
LAB,0,0,0,0,2,0,0,2,2,2,92
SCR,0,0,0,0,0,0,0,0,100,0,0
BIG,0,0,0,0,0,0,0,0,0,0,100
ACA,0,0,0,0,0,0,0,44,16,0,38
RUB,0,0,0,0,0,0,0,0,0,0,100
CAP,0,0,0,0,0,2,0,2,32,13,50
COM,1,9,1,0,12,0,1,4,31,13,29
CMM,0,0,0,0,0,0,0,0,0,0,100
IRI,0,0,0,0,0,0,0,0,20,0,80
LIL,0,0,0,0,0,0,0,0,0,40,60
ORC,0,0,0,0,0,0,0,87,0,0,12
