,Elder,Hawthorn,Bramble,Honey-suckle,White-Bryony,Black Bryony,Woody Night-Shade,Sloe,Rose,Ivy,Spindle,Guelder Rose
Blackbird,20,52,2,0,0,0,0,10,4,11,1,0
Fieldfare,0,83,0,0,0,0,0,17,0,30,0,0
Redwing,1,93,0,0,0,0,0,6,0,0,0,0
Song Thrush,38,30,2,0,0,0,0,0,0,0,0,0
Marsh/Williow tit,63,0,7,7,15,2,1,0,0,0,6,0
Blue tit,89,0,9,1,1,0,0,0,0,0,0,0
GReat tit,98,0,0,0,2,0,0,0,0,0,0,0
Long-tailed tit,0,0,0,0,0,0,0,0,0,0,100,0
nuthatch,66,0,0,0,0,0,34,0,0,0,0,0
blackcap,66,0,0,0,0,0,16,0,0,16,0,0
robin,57,0,0,0,0,0,0,0,0,28,14,0
woodpigeon,40,23,0,0,0,0,0,0,10,27,0,0
bullfinch,20,0,40,0,40,0,0,0,0,0,0,0
chaffinch,83,0,0,0,16,0,0,0,0,0,0,0
